时间,新能源汽车产量,新能源汽车销量,纯电动汽车产量,纯电动汽车销量,插电式混合动力汽车产量,插电式混合动力汽车销量
2017年1月,0.6889,0.568,0.5857,0.4978,0.1032,0.0704
2017年2月,1.7972,1.7596,1.5327,1.3919,0.2645,0.3677
2017年3月,3.3015,3.112,2.6685,2.5342,0.633,0.5778
2017年4月,3.7306,3.4361,3.0197,2.857,0.7108,0.5791
2017年5月,5.1447,4.53,4.3619,3.853,0.7828,0.677
2017年6月,6.5,5.9,5.4,4.8,1.1,1.1
2017年7月,5.9,5.6,4.3,4.4,1.2,1.2
2017年8月,7.2,6.8,5.8,5.6,1.4,1.2
2017年9月,7.7,7.8,6.4,6.4,1.3,1.4
2017年10月,9.2,9.1,7.7,7.7,1.5,1.4
2017年11月,12.2,11.9,10.5,10.2,1.7,1.7
2017年12月,14.9,16.3,12.9,14.4,2.1,1.9
2018年1月,4.2625,4.0247,2.7802,2.6753,1.2765,1.1717
2018年2月,3.923,3.442,2.8872,2.3458,1.0358,1.0962
2018年3月,6.7932,6.7778,5.114,5.2174,1.676,1.5602
2018年4月,8.1217,8.1904,6.3858,6.4786,1.7301,1.7062
2018年5月,9.6,10.2,7.7,8.2,1.9,2
2018年6月,8.6,8.4,6.4,6.2,2.2,2.2
2018年7月,9,8.4,6.8,6,2.3,2.4
2018年8月,9.9,10.1,7.2,7.3,2.7,2.8
2018年9月,12.7,12.1,10,9.4,2.7,2.7
2018年10月,14.6,13.8,11.6,11.1,2.9,2.7
2018年11月,17.3,16.9,13.5,13.8,3.8,3.1
2018年12月,21.4,22.5,17.9,19.3,3.6,3.2
2019年1月,9.1,9.6,6.7,7.5,2.4,2.1
2019年2月,5.9,5.3,4.4,4,1.5,1.3
2019年3月,12.8,12.6,10,9.6,2.8,3
2019年4月,10.2,9.7,8.2,7.1,2,2.6
2019年5月,11.2,10.4,9.4,8.3,1.8,2.1
2019年6月,13.4,15.2,11.3,12.9,2,2.2
2019年7月,8.4,8,6.5,6.1,2,1.9
2019年8月,8.7,8.5,7.4,6.9,1.4,1.6
2019年9月,8.9,8,7.4,6.3,1.5,1.7
2019年10月,9.5,7.5,7.8,5.9,1.6,1.6
2019年11月,11,9.5,9.6,8.1,1.4,1.4
2019年12月,14.9,16.3,12.9,14,1.9,2.1
2020年1月,4,4.4,3,3.3,1.3,1.3
2020年2月,0.9951,1.2908,0.8342,1.068,0.1609,0.2228
2020年3月,5,5.3,3.8,4,1.1,1.3
2020年4月,8,7.2,5.8,5.1,2.26,2.04
2020年5月,8.4,8.2,6.3,6.4,2.1,1.8
2020年6月,10.2,10.4,7.9,8.2,2.3,2.1
2020年7月,10,9.8,7.9,7.8,2.1,1.9
2020年8月,10.6,10.9,8.2,8.8,2.1,2.4
2020年9月,13.6,13.8,10.7,11.2,2.9,2.6
2020年10月,16.7,16,14.1,13.3,2.6,2.7
2020年11月,19.8,20,16.4,16.7,3.3,3.3
2020年12月,23.5,24.8,20.3,21.1,3.2,3.7
2021年1月,19.4,17.9,16.6,15.1,2.8,2.9
2021年2月,12.4,11,10.7,9.2,1.6,1.7
2021年3月,21.6,22.6,18.2,19,3.4,3.6
2021年4月,21.6,20.6,16.9,15.8,3.4,3.5
2021年5月,21.7,21.7,20.4,21.1,3.6,3.8
2021年6月,24.8,25.6,20.4,21.1,4.3,4.4
2021年7月,30.9,32.1,23.8,25.1,5.6,5.6
2021年8月,30.9,32.1,25.2,26.5,5.6,5.6
2021年9月,35.3,35.7,29.1,29.6,6.2,6.1
2021年10月,39.7,38.3,32.9,31.6,6.82,6.71
2021年11月,45.76,44.96,37.2,36.1,8.46,8.86
2021年12月,51.8,53.1,43.4,44.8,8.35,8.24
2022年1月,45.2,43.1,36.7,34.7,8.44,8.54
2022年2月,36.9,33.4,28.5,25.8,8.25,7.53
2022年3月,46.5,48.4,37.6,39.5,8.85,8.79
2022年4月,31.2,29.9,24.2,23.1,6.9,6.8
2022年5月,46.6,44.7,36.4,34.7,10.2,10
2022年6月,59,59.6,46.6,47.6,12.3,12
2022年7月,61.7,59.3,47.2,45.7,14.4,13.5
2022年8月,69.1,66.6,53.6,52.2,15.5,14.4
