时间,公共类充电桩数量_重庆,公共类充电桩数量_北京,公共类充电桩数量_广东,公共类充电桩数量_上海,公共类充电桩数量_浙江,公共类充电桩数量_安徽,公共类充电桩数量_天津,公共类充电桩数量_四川,公共类充电桩数量_山东,公共类充电桩数量_江苏,公共类充电桩数量_直流桩_全国,公共类充电桩数量_交流桩_全国
2022-07-31,53691,103673,343595,111772,109989,71127,39042,51072,76002,111510,684000,890000
2022-06-30,31858,103002,330747,110268,105445,68495,38579,49440,73862,109644,665000,863000
2022-05-31,29923,101907,281202,109072,103354,66832,38110,47199,70825,106531,613000,806000
2022-04-30,,100388,241617,107833,97953,65485,,,68132,102842,577000,755000
2022-03-31,,98432,201302,107218,90843,62943,,,64188,100923,502000,729000
2022-02-28,,98243,199988,106247,89188,61717,,,62290,100717,496000,717000
2022-01-31,,97526,185649,104579,83978,60858,,,61539,100015,486000,691000
2021-12-31,,96840,181846,103249,82041,58307,,,60251,97265,470000,677000
2021-11-30,,95301,169348,100464,79907,52397,,,56727,93769,450000,646000
2021-10-31,,94068,165822,97962,76267,49325,,,56300,91788,436000,626000
2021-09-30,,93604,160961,97269,74466,49555,,,55058,90424,428000,616000
2021-08-31,,90281,151940,95320,70655,44633,,,53321,86344,399000,586000
2021-07-31,,88018,146849,91465,76475,43213,,,51229,81305,383000,567000
2021-06-30,,84857,143042,89370,66367,42733,,,51111,79987,374000,550000
2021-05-31,,83407,120986,87734,65221,42385,,,50309,78739,368000,516000
2021-04-30,,82655,119082,85943,64391,41702,,,50371,77492,363000,505000
2021-03-31,,81869,113797,84987,63647,41137,2357,,49886,76586,356000,495000
2021-02-28,,81450,112521,84476,62457,39890,,,49065,75622,349000,488000
2021-01-31,,78933,111226,81382,60762,39273,,,47012,72165,344000,466000
2020-12-31,,87634,85874,85538,61542,38959,,,48890,77053,309000,498000
2020-11-30,,69607,76051,75256,55990,32715,,,42537,69171,297000,397000
2020-10-31,,67981,73263,73477,52436,31116,22248,,39856,67479,291000,376000
2020-09-30,,61017,71950,69506,38776,29325,,,36058,62934,255000,350000
2020-08-31,,60153,70015,68037,37728,28485,,,35636,62106,250000,341000
2020-07-31,,58887,68265,66514,33815,28281,,,34752,60909,240000,326000
2020-06-30,,58135,67197,65298,32929,27851,,,34349,61300,,
2020-05-31,,57182,66058,64491,31529,27432,,,33750,63709,,
2020-04-30,,56261,65407,63973,31088,26607,,,33471,66683,,
2020-03-31,,58865,64522,62951,30576,26159,,,33379,66137,,
