时间\汽油零售价格,98#-全国 （元/升）,95#-全国 （元/升）,92#-全国 （元/升）
2019年9月,7.8497222222,7.1026209677,6.629811828
2019年10月,7.8725694444,7.1536021505,6.6847311828
2019年11月,7.9374652778,7.1993817204,6.7172043011
2019年12月,8.0178125,7.2775537634,6.7909946237
2020年1月,8.2098576389,7.4766733231,6.9640959208
2020年2月,6.9081225038,6.9553445341,6.9529201229
2020年3月,6.990297619,6.3197222222,5.8957777778
2020年4月,6.5298076923,5.8927719298,5.4907017544
2020年5月,6.5263690476,5.8997083333,5.5034722222
2020年6月,5.7640495617,5.7120575631,5.6991276899
2020年7月,6.706344697,6.0719914875,5.6700268817
2020年8月,6.7502840909,6.1050336022,5.7051456093
2020年9月,6.6678030303,6.004811828,5.6032795699
2020年10月,7.8658333333,7.1448028674,6.6695878136
2020年11月,7.9409375,7.2028225806,6.7203763441
2020年12月,6.8332575758,6.1584086022,5.7512473118
2021年1月,7.1410606061,6.4348566308,6.0101075269
2021年2月,7.3759090909,6.6628315412,6.2272132616
2021年3月,7.8980681818,7.1548028674,6.6786021505
2021年4月,7.802594697,7.0592831541,6.5917293907
2021年5月,7.9259722222,7.1818010753,6.7121236559
2021年6月,8.1494823232,7.4008978495,6.9190053763
2021年7月,8.3881818182,7.5973655914,7.103297491
2021年8月,8.2595770202,7.4919623656,7.0053136201
2021年9月,8.2582575758,7.4940860215,7.0100537634
2021年10月,8.6871212121,7.9030645161,7.3934229391
2021年11月,8.8506313131,8.063172043,7.5316666667
2021年12月,8.3349747475,7.5714157706,7.0662903226
2022年1月,8.6182575758,7.7978225806,7.274327957
2022年2月,9.0609848485,8.2653225806,7.7177598566
2022年3月,9.872247475,8.842419355,8.273602151
2022年4月,9.82641414,9.12569892,8.52362903
2022年5月,10.0438383838,9.1688172043,8.563172043
2022年6月,10.7537878788,9.7752016129,9.1335591398
2022年7月,10.1608585859,9.4004569892,8.7741129032
